COUNTRY,YEAR,IndicatorCode,NumericValue
LBN,2021,AMR_INFECT_ECOLI,50.0
CZE,2023,AMR_INFECT_ECOLI,16.51
TUN,2022,AMR_INFECT_ECOLI,19.79
LVA,2021,AMR_INFECT_ECOLI,18.91
IRL,2023,AMR_INFECT_ECOLI,10.77
NPL,2020,AMR_INFECT_ECOLI,72.97
BHR,2018,AMR_INFECT_ECOLI,43.2
GLOBAL,2022,AMR_INFECT_ECOLI,45.5
MWI,2023,AMR_INFECT_ECOLI,84.21
GBR,2018,AMR_INFECT_ECOLI,10.97
CZE,2019,AMR_INFECT_ECOLI,15.36
ETH,2022,AMR_INFECT_ECOLI,80.95
CHE,2022,AMR_INFECT_ECOLI,9.78
BRA,2021,AMR_INFECT_ECOLI,25.58
NGA,2018,AMR_INFECT_ECOLI,81.63
MAR,2023,AMR_INFECT_ECOLI,44.74
POL,2021,AMR_INFECT_ECOLI,18.83
MKD,2023,AMR_INFECT_ECOLI,61.76
ISL,2022,AMR_INFECT_ECOLI,9.79
RUS,2023,AMR_INFECT_ECOLI,65.28
LBN,2016,AMR_INFECT_ECOLI,48.53
SAU,2018,AMR_INFECT_ECOLI,54.77
SWE,2017,AMR_INFECT_ECOLI,7.36
RUS,2017,AMR_INFECT_ECOLI,73.08
NPL,2022,AMR_INFECT_ECOLI,77.06
THA,2020,AMR_INFECT_ECOLI,39.4
IRN,2022,AMR_INFECT_ECOLI,70.64
OMN,2019,AMR_INFECT_ECOLI,54.68
MDG,2019,AMR_INFECT_ECOLI,40.54
COL,2021,AMR_INFECT_ECOLI,30.77
KWT,2023,AMR_INFECT_ECOLI,52.96
ZAF,2020,AMR_INFECT_ECOLI,28.2
ZMB,2016,AMR_INFECT_ECOLI,61.9
QAT,2022,AMR_INFECT_ECOLI,43.31
CYP,2022,AMR_INFECT_ECOLI,40.52
ZMB,2019,AMR_INFECT_ECOLI,63.38
DEU,2023,AMR_INFECT_ECOLI,9.77
GRC,2020,AMR_INFECT_ECOLI,24.46
CAN,2023,AMR_INFECT_ECOLI,17.45
